Course,Tee,Par,Scr,Slope,Holes
Aberdeen Golf Club (NSW),Red Women - Holes:1-9,35,35,106,9
Aberdeen Golf Club (NSW),Red Women - Holes:10-18,35,35,110,9
Aberdeen Golf Club (NSW),White Men - Holes:1-9,35,33,111,9
Aberdeen Golf Club (NSW),White Men - Holes:10-18,35,33,114,9
Aberdeen Golf Club (NSW),Red Women,70,70,108,18
Aberdeen Golf Club (NSW),White Men,70,66,113,18
Adelong Golf Club (NSW),Red Women - Holes:1-9,35,34.5,110,9
Adelong Golf Club (NSW),Red Women - Holes:10-18,35,35,110,9
Adelong Golf Club (NSW),White Men - Holes:1-9,35,34.5,109,9
Adelong Golf Club (NSW),White Men - Holes:10-18,35,34.5,109,9
Adelong Golf Club (NSW),Red Women,70,70,114,18
Adelong Golf Club (NSW),White Men,70,68,109,18
Albert Golf Club (NSW),Blue Men - Holes:1-9,35,35,112,9
Albert Golf Club (NSW),Blue Men - Holes:10-18,35,35,112,9
Albert Golf Club (NSW),Red Women - Holes:1-9,35,35.5,114,9
Albert Golf Club (NSW),Red Women - Holes:10-18,35,36,114,9
Albert Golf Club (NSW),Blue Men,70,67,112,18
Albert Golf Club (NSW),Red Women,70,68,114,18
Antill Park Country Golf Club Ltd (NSW),Blue Men - Holes:1-9,35,34.5,122,9
Antill Park Country Golf Club Ltd (NSW),Blue Men - Holes:10-18,35,35.5,129,9
Antill Park Country Golf Club Ltd (NSW),Pink Women - Holes:1-9,35,35,124,9
Antill Park Country Golf Club Ltd (NSW),Red Women - Holes:1-9,35,36,132,9
Antill Park Country Golf Club Ltd (NSW),White Men - Holes:1-9,35,34,123,9
Antill Park Country Golf Club Ltd (NSW),White Men - Holes:10-18,35,35,125,9
Antill Park Country Golf Club Ltd (NSW),Yellow Men - Holes:1-9,35,33,115,9
Antill Park Country Golf Club Ltd (NSW),Yellow Men - Holes:10-18,35,33.5,112,9
Antill Park Country Golf Club Ltd (NSW),Pink Women - Holes:10-18,36,35.5,115,9
Antill Park Country Golf Club Ltd (NSW),Red Women - Holes:10-18,36,36.5,117,9
Antill Park Country Golf Club Ltd (NSW),Blue Men,70,70,126,18
Antill Park Country Golf Club Ltd (NSW),White Men,70,69,124,18
Antill Park Country Golf Club Ltd (NSW),Yellow Men,70,66,114,18
Antill Park Country Golf Club Ltd (NSW),Pink Women,71,71,120,18
Antill Park Country Golf Club Ltd (NSW),Red Women,71,73,125,18
Ariah Park Golf Club (NSW),Blue Men - Holes:1-9,35,33.5,105,9
Ariah Park Golf Club (NSW),Blue Men - Holes:10-18,35,33.5,105,9
Ariah Park Golf Club (NSW),Red Women - Holes:1-9,35,35,112,9
Ariah Park Golf Club (NSW),Red Women - Holes:10-18,35,35.5,112,9
Ariah Park Golf Club (NSW),Blue Men,70,67,105,18
Ariah Park Golf Club (NSW),Red Women,70,69,112,18
Armidale Golf Club (NSW),Blue Men - Holes:1-9,36,36,126,9
Armidale Golf Club (NSW),Blue Men - Holes:10-18,36,35.5,127,9
Armidale Golf Club (NSW),Red Women - Holes:10-18,36,37,131,9
Armidale Golf Club (NSW),White Men - Holes:1-9,36,35.5,121,9
Armidale Golf Club (NSW),White Men - Holes:10-18,36,35,121,9
Armidale Golf Club (NSW),Red Women - Holes:1-9,37,37.5,129,9
Armidale Golf Club (NSW),Blue Men,72,72,127,18
Armidale Golf Club (NSW),White Men,72,70,121,18
Armidale Golf Club (NSW),Red Women,73,74,130,18
Ashford Golf Club (NSW),White Men - Holes:10-18,33,33,104,9
Ashford Golf Club (NSW),White Men - Holes:1-9,34,34,104,9
Ashford Golf Club (NSW),Red Women - Holes:1-9,35,34.5,109,9
Ashford Golf Club (NSW),Red Women - Holes:10-18,35,34.5,109,9
Ashford Golf Club (NSW),White Men,67,65,104,18
Ashford Golf Club (NSW),Red Women,70,69,109,18
Asquith Golf Club (NSW),Blue Men - Holes:1-9,35,35,129,9
Asquith Golf Club (NSW),Blue Men - Holes:10-18,35,35,138,9
Asquith Golf Club (NSW),Red Women - Holes:1-9,35,36.5,134,9
Asquith Golf Club (NSW),White Men - Holes:1-9,35,33.5,129,9
Asquith Golf Club (NSW),White Men - Holes:10-18,35,34.5,132,9
Asquith Golf Club (NSW),Yellow Men - Holes:1-9,35,32.5,125,9
Asquith Golf Club (NSW),Yellow Men - Holes:10-18,35,32.5,123,9
Asquith Golf Club (NSW),Yellow Women - Holes:1-9,35,35.5,128,9
Asquith Golf Club (NSW),Red Women - Holes:10-18,36,37,140,9
Asquith Golf Club (NSW),Yellow Women - Holes:10-18,36,35,133,9
Asquith Golf Club (NSW),Blue Men,70,70,134,18
Asquith Golf Club (NSW),White Men,70,68,131,18
Asquith Golf Club (NSW),Yellow Men,70,65,124,18
Asquith Golf Club (NSW),Red Women,71,73,137,18
Asquith Golf Club (NSW),Yellow Women,71,70,131,18
Avalon Golf Course (NSW),Men (9 Hole Rating) - Course:Blue,32,31,103,9
Avalon Golf Course (NSW),Blue Men,64,61,103,18
Avalon Ladies Golf Club (NSW),Red Women - Holes:1-9,32,31,111,9
Avalon Ladies Golf Club (NSW),Red Women - Holes:10-18,32,31,111,9
Avalon Ladies Golf Club (NSW),Red Women,64,62,111,18
Avondale Golf Club (NSW),Black Men - Holes:10-18,35,36,135,9
Avondale Golf Club (NSW),Blue Men - Holes:10-18,35,36,135,9
Avondale Golf Club (NSW),White Men - Holes:10-18,35,35.5,127,9
Avondale Golf Club (NSW),Yellow Men - Holes:10-18,35,33.5,119,9
Avondale Golf Club (NSW),Black Men - Holes:1-9,36,36,130,9
Avondale Golf Club (NSW),Blue Men - Holes:1-9,36,35.5,128,9
Avondale Golf Club (NSW),Red Women - Holes:1-9,36,37,126,9
Avondale Golf Club (NSW),Red Women - Holes:10-18,36,37,126,9
Avondale Golf Club (NSW),White Men - Holes:1-9,36,35,125,9
Avondale Golf Club (NSW),Yellow Men - Holes:1-9,36,34,119,9
Avondale Golf Club (NSW),Yellow Women - Holes:1-9,36,37,129,9
Avondale Golf Club (NSW),Yellow Women - Holes:10-18,36,36,123,9
Avondale Golf Club (NSW),Men TEMP - Course:White,69,69,123,18
Avondale Golf Club (NSW),Men TEMP - Course:Yellow,69,66,115,18
Avondale Golf Club (NSW),Men TEMP,70,70,123,18
Avondale Golf Club (NSW),Men TEMP - Course:Yellow 13 out,70,67,116,18
Avondale Golf Club (NSW),Men TEMP 13 out - Course:Black,70,71,130,18
Avondale Golf Club (NSW),Women TEMP - Course:Red,70,72,121,18
Avondale Golf Club (NSW),Black Men,71,72,133,18
Avondale Golf Club (NSW),Blue Men,71,72,132,18
Avondale Golf Club (NSW),White Men,71,71,126,18
Avondale Golf Club (NSW),Women TEMP - Course:Red 13 out,71,73,123,18
Avondale Golf Club (NSW),Women TEMP - Course:White,71,75,129,18
Avondale Golf Club (NSW),Yellow Men,71,68,119,18
Avondale Golf Club (NSW),Red Women,72,74,126,18
Avondale Golf Club (NSW),White Women,72,76,132,18
Avondale Golf Club (NSW),Yellow Women,72,73,126,18
Balgowlah Golf Club (NSW),Blue Men - Holes:1-9,33,32,115,9
Balgowlah Golf Club (NSW),Blue Men - Holes:10-18,33,32,115,9
Balgowlah Golf Club (NSW),White Men - Holes:1-9,33,32,111,9
Balgowlah Golf Club (NSW),White Men - Holes:10-18,33,31.5,112,9
Balgowlah Golf Club (NSW),Red Women - Holes:1-9,34,33.5,112,9
Balgowlah Golf Club (NSW),Red Women - Holes:10-18,34,34,114,9
Balgowlah Golf Club (NSW),Blue Men,66,64,115,18
Balgowlah Golf Club (NSW),White Men,66,64,112,18
Balgowlah Golf Club (NSW),Red Women,68,67,113,18
Ballina Golf & Sports Club (NSW),Black Men - Holes:1-9,35,35.5,125,9
Ballina Golf & Sports Club (NSW),Black Men - Holes:10-18,35,35.5,127,9
Ballina Golf & Sports Club (NSW),Blue Men - Holes:1-9,35,35.5,124,9
Ballina Golf & Sports Club (NSW),Green Men - Holes:1-9,35,34.5,117,9
Ballina Golf & Sports Club (NSW),White Men - Holes:1-9,35,35,116,9
Ballina Golf & Sports Club (NSW),Gold Women - Holes:1-9,36,36,118,9
Ballina Golf & Sports Club (NSW),Gold Women - Holes:10-18,36,35,118,9
Ballina Golf & Sports Club (NSW),Red Women - Holes:1-9,36,36.5,121,9
Ballina Golf & Sports Club (NSW),Red Women - Holes:10-18,36,37,125,9
Ballina Golf & Sports Club (NSW),Blue Men - Holes:10-18,37,36.5,131,9
Ballina Golf & Sports Club (NSW),Green Men - Holes:10-18,37,35.5,121,9
Ballina Golf & Sports Club (NSW),White Men - Holes:10-18,37,36,125,9
Ballina Golf & Sports Club (NSW),Black Men,70,71,127,18
Ballina Golf & Sports Club (NSW),Blue Men,72,72,128,18
Ballina Golf & Sports Club (NSW),Gold Women,72,71,118,18
Ballina Golf & Sports Club (NSW),Green Men,72,70,119,18
Ballina Golf & Sports Club (NSW),Red Women,72,73,123,18
Ballina Golf & Sports Club (NSW),White Men,72,71,121,18
Balranald Golf Club (NSW),Red Women - Holes:1-9,36,36.5,114,9
Balranald Golf Club (NSW),Red Women - Holes:10-18,36,36.5,111,9
Balranald Golf Club (NSW),White Men - Holes:1-9,36,34.5,111,9
Balranald Golf Club (NSW),White Men - Holes:10-18,36,35,109,9
Balranald Golf Club (NSW),Red Women,72,73,113,18
Balranald Golf Club (NSW),White Men,72,69,110,18
Bankstown Golf Club (NSW),Black Men - Holes:10-18,35,35.5,123,9
Bankstown Golf Club (NSW),Blue Men - Holes:10-18,35,35,119,9
Bankstown Golf Club (NSW),White Men - Holes:10-18,35,34.5,115,9
Bankstown Golf Club (NSW),Black Men - Holes:1-9,36,36.5,125,9
Bankstown Golf Club (NSW),Blue Men - Holes:1-9,36,36,126,9
Bankstown Golf Club (NSW),Gold Women - Holes:1-9,36,36.5,123,9
Bankstown Golf Club (NSW),Gold Women - Holes:10-18,36,35,117,9
Bankstown Golf Club (NSW),Red Women - Holes:1-9,36,37.5,125,9
Bankstown Golf Club (NSW),White Men - Holes:1-9,36,35.5,128,9
Bankstown Golf Club (NSW),Red Women - Holes:10-18,37,36,126,9
Bankstown Golf Club (NSW),Black Men,71,72,124,18
Bankstown Golf Club (NSW),Blue Men,71,71,123,18
Bankstown Golf Club (NSW),White Men,71,70,122,18
Bankstown Golf Club (NSW),Gold Women,72,71,120,18
Bankstown Golf Club (NSW),Red Women,72,74,128,18
Bardwell Valley Golf Club (NSW),Blue Men - Holes:1-9,31,31,107,9
Bardwell Valley Golf Club (NSW),Blue Men - Holes:10-18,31,32,110,9
Bardwell Valley Golf Club (NSW),Red Women - Holes:1-9,32,32,117,9
Bardwell Valley Golf Club (NSW),Red Women - Holes:10-18,33,33.5,116,9
Bardwell Valley Golf Club (NSW),Blue Men,62,63,109,18
Bardwell Valley Golf Club (NSW),Red Women,65,66,117,18
Barham Golf Club (NSW),Blue Men - Holes:10-18,36,35.5,117,9
Barham Golf Club (NSW),Red Women - Holes:10-18,36,36.5,119,9
Barham Golf Club (NSW),White Men 10-18,36,35,115,9
Barham Golf Club (NSW),Blue Men - Holes:1-9,37,37,137,9
Barham Golf Club (NSW),White Men 1-9,37,36.5,136,9
Barham Golf Club (NSW),Red Women - Holes:1-9,38,38.5,136,9
Barham Golf Club (NSW),Blue Men,73,72,127,18
Barham Golf Club (NSW),White Men,73,71,125,18
Barham Golf Club (NSW),Red Women,74,75,128,18
Barnwell Park Golf Club (NSW),Blue Men - Holes:10-18,29,29,102,9
Barnwell Park Golf Club (NSW),Red Women - Holes:10-18,29,29,99,9
Barnwell Park Golf Club (NSW),Blue Men - Holes:1-9,32,31.5,108,9
Barnwell Park Golf Club (NSW),Red Women - Holes:1-9,33,32.5,111,9
Barnwell Park Golf Club (NSW),M,59,59,101,18
Barnwell Park Golf Club (NSW),M,60,60,100,18
Barnwell Park Golf Club (NSW),Blue Men,61,60,105,18
Barnwell Park Golf Club (NSW),Red Women,62,62,105,18
Barraba Golf Club (NSW),Red Women - Holes:1-9,35,36.5,117,9
Barraba Golf Club (NSW),White Men - Holes:10-18,35,35,113,9
Barraba Golf Club (NSW),Red Women - Holes:10-18,36,36.5,117,9
Barraba Golf Club (NSW),White Men - Holes:1-9,36,35,113,9
Barraba Golf Club (NSW),Red Women,71,71,117,18
Barraba Golf Club (NSW),White Men,71,69,112,18
Bathurst Golf Club (NSW),Blue Men - Holes:10-18,35,36,135,9
